,1,2,3,4,5,6,7,8,9
146,1:00p,Portland Trail Blazers,118,Toronto Raptors,110,Box Score,OT,"17,945",
147,6:00p,Memphis Grizzlies,97,Sacramento Kings,86,Box Score,,"15,630",
148,9:30p,Detroit Pistons,99,Los Angeles Lakers,114,Box Score,,"18,997",
149,7:30p,Portland Trail Blazers,108,Brooklyn Nets,98,Box Score,,"17,732",
150,8:00p,Charlotte Bobcats,81,Chicago Bulls,86,Box Score,,"21,628",
151,8:00p,Denver Nuggets,113,Oklahoma City Thunder,115,Box Score,,"18,203",
152,8:30p,Philadelphia 76ers,94,Dallas Mavericks,97,Box Score,,"19,790",
153,9:00p,Golden State Warriors,98,Utah Jazz,87,Box Score,,"16,051",
154,10:30p,Memphis Grizzlies,106,Los Angeles Clippers,102,Box Score,,"19,060",
155,7:00p,Minnesota Timberwolves,100,Washington Wizards,104,Box Score,,"14,804",
156,7:30p,New York Knicks,86,Detroit Pistons,92,Box Score,,"13,213",
157,7:30p,Atlanta Hawks,88,Miami Heat,104,Box Score,,"19,600",
158,8:00p,Boston Celtics,85,Houston Rockets,109,Box Score,,"18,232",
159,10:00p,Phoenix Suns,104,Sacramento Kings,107,Box Score,,"14,626",
160,7:00p,Brooklyn Nets,91,Charlotte Bobcats,95,Box Score,,"13,843",
161,7:00p,Washington Wizards,98,Cleveland Cavaliers,91,Box Score,,"16,189",
162,7:00p,Indiana Pacers,103,New York Knicks,96,Box Score,OT,"19,812",
163,7:00p,Miami Heat,120,Orlando Magic,92,Box Score,,"17,256",
164,7:00p,Toronto Raptors,108,Philadelphia 76ers,98,Box Score,,"10,787",
165,7:30p,Detroit Pistons,85,Atlanta Hawks,93,Box Score,,"13,167",
166,8:00p,Portland Trail Blazers,91,Milwaukee Bucks,82,Box Score,,"11,789",
167,8:00p,Los Angeles Clippers,102,Minnesota Timberwolves,98,Box Score,,"13,101",
168,8:00p,Utah Jazz,98,New Orleans Pelicans,105,Box Score,,"13,203",
169,8:30p,Boston Celtics,93,San Antonio Spurs,104,Box Score,,"18,581",
170,9:00p,Sacramento Kings,113,Phoenix Suns,106,Box Score,,"12,705",
171,9:30p,Houston Rockets,120,Dallas Mavericks,123,Box Score,,"20,045",
172,10:30p,Memphis Grizzlies,88,Golden State Warriors,81,Box Score,OT,"19,596",
173,8:00p,Los Angeles Clippers,91,Oklahoma City Thunder,105,Box Score,,"18,203",
174,10:30p,Chicago Bulls,87,Denver Nuggets,97,Box Score,,"18,423",
175,7:00p,Phoenix Suns,98,Charlotte Bobcats,91,Box Score,,"14,916",
176,7:00p,Milwaukee Bucks,107,Philadelphia 76ers,115,Box Score,OT,"13,588",
177,7:00p,Washington Wizards,88,Toronto Raptors,96,Box Score,,"18,671",
178,7:30p,Indiana Pacers,97,Boston Celtics,82,Box Score,,"18,624",
179,7:30p,Atlanta Hawks,96,Detroit Pistons,89,Box Score,,"13,467",
180,8:00p,San Antonio Spurs,102,Memphis Grizzlies,86,Box Score,,"17,109",
181,8:00p,Brooklyn Nets,81,Minnesota Timberwolves,111,Box Score,,"15,551",
182,8:00p,Cleveland Cavaliers,100,New Orleans Pelicans,104,Box Score,,"15,186",
183,8:30p,Utah Jazz,93,Dallas Mavericks,103,Box Score,,"19,781",
184,10:00p,Chicago Bulls,95,Portland Trail Blazers,98,Box Score,,"20,618",
185,10:30p,Golden State Warriors,95,Los Angeles Lakers,102,Box Score,,"18,997",
186,3:30p,Sacramento Kings,102,Los Angeles Clippers,103,Box Score,,"19,060",
187,7:00p,Philadelphia 76ers,98,Indiana Pacers,106,Box Score,,"18,165",
188,7:00p,New York Knicks,89,Washington Wizards,98,Box Score,,"18,089",
189,7:30p,Boston Celtics,94,Atlanta Hawks,87,Box Score,,"15,189",
190,7:30p,Orlando Magic,99,Miami Heat,101,Box Score,,"19,647",
191,8:00p,Minnesota Timberwolves,101,Houston Rockets,112,Box Score,,"18,196",
192,8:30p,Charlotte Bobcats,96,Milwaukee Bucks,72,Box Score,,"14,871",
193,8:30p,Cleveland Cavaliers,96,San Antonio Spurs,126,Box Score,,"18,581",
194,9:00p,Dallas Mavericks,100,Denver Nuggets,102,Box Score,,"17,841",
195,10:30p,Portland Trail Blazers,113,Golden State Warriors,101,Box Score,,"19,596",
196,2:00p,Detroit Pistons,109,Brooklyn Nets,97,Box Score,,"17,732",
197,3:30p,Chicago Bulls,82,Los Angeles Clippers,121,Box Score,,"19,245",
198,6:00p,Phoenix Suns,104,Orlando Magic,96,Box Score,,"15,785",
199,7:00p,Utah Jazz,73,Oklahoma City Thunder,95,Box Score,,"18,203",
200,9:30p,Sacramento Kings,86,Los Angeles Lakers,100,Box Score,,"18,997",
201,7:00p,Boston Celtics,96,Charlotte Bobcats,86,Box Score,,"13,558",
202,7:00p,Minnesota Timberwolves,84,Indiana Pacers,98,Box Score,,"16,426",
203,7:30p,Milwaukee Bucks,94,Detroit Pistons,113,Box Score,,"12,150",
204,7:30p,Phoenix Suns,92,Miami Heat,107,Box Score,,"19,758",
205,8:00p,Houston Rockets,93,Memphis Grizzlies,86,Box Score,,"15,246",
206,8:30p,Denver Nuggets,110,Dallas Mavericks,96,Box Score,,"19,677",
207,8:30p,New Orleans Pelicans,93,San Antonio Spurs,112,Box Score,,"18,323",
208,9:00p,Chicago Bulls,83,Utah Jazz,89,Box Score,OT,"18,936",
209,10:00p,New York Knicks,91,Portland Trail Blazers,102,Box Score,,"19,939",
210,7:00p,Brooklyn Nets,102,Toronto Raptors,100,Box Score,,"16,421",
211,7:00p,Los Angeles Lakers,111,Washington Wizards,116,Box Score,,"19,204",
212,7:30p,Orlando Magic,109,Atlanta Hawks,92,Box Score,,"13,164",
213,8:00p,Golden State Warriors,102,New Orleans Pelicans,101,Box Score,,"15,330",
214,7:00p,Indiana Pacers,99,Charlotte Bobcats,74,Box Score,,"15,170",
215,7:00p,Philadelphia 76ers,94,Orlando Magic,105,Box Score,,"15,839",
216,7:30p,Memphis Grizzlies,100,Boston Celtics,93,Box Score,,"17,319",
217,7:30p,Los Angeles Lakers,99,Brooklyn Nets,94,Box Score,,"17,732",
218,7:30p,Miami Heat,95,Cleveland Cavaliers,84,Box Score,,"20,562",
219,7:30p,Chicago Bulls,99,Detroit Pistons,79,Box Score,,"14,228",
220,8:00p,Atlanta Hawks,84,Houston Rockets,113,Box Score,,"18,051",
221,8:00p,Washington Wizards,100,Milwaukee Bucks,92,Box Score,OT,"11,584",
222,8:00p,Denver Nuggets,117,Minnesota Timberwolves,110,Box Score,,"14,244",
223,8:00p,San Antonio Spurs,88,Oklahoma City Thunder,94,Box Score,,"18,203",
224,8:30p,Golden State Warriors,99,Dallas Mavericks,103,Box Score,,"20,211",
225,9:00p,Portland Trail Blazers,106,Phoenix Suns,120,Box Score,,"12,731",
226,10:30p,New York Knicks,80,Los Angeles Clippers,93,Box Score,,"19,270",
227,7:00p,Milwaukee Bucks,76,Charlotte Bobcats,92,Box Score,,"15,081",
228,7:00p,San Antonio Spurs,109,Orlando Magic,91,Box Score,,"15,159",
229,7:00p,Miami Heat,90,Toronto Raptors,83,Box Score,,"18,290",
230,7:30p,Dallas Mavericks,87,Atlanta Hawks,88,Box Score,,"15,463",
231,7:30p,Cleveland Cavaliers,86,Boston Celtics,103,Box Score,,"17,685",
232,7:30p,Los Angeles Lakers,106,Detroit Pistons,102,Box Score,,"15,202",
233,8:00p,Brooklyn Nets,95,Houston Rockets,114,Box Score,,"18,138",
234,8:00p,Washington Wizards,73,Indiana Pacers,93,Box Score,,"18,165",
235,8:00p,Golden State Warriors,112,Oklahoma City Thunder,113,Box Score,OT,"18,203",
236,8:00p,New Orleans Pelicans,121,Philadelphia 76ers,105,Box Score,,"17,807",
237,9:00p,New York Knicks,95,Denver Nuggets,97,Box Score,,"19,155",
238,9:00p,Phoenix Suns,112,Utah Jazz,101,Box Score,,"18,435",
239,10:00p,Los Angeles Clippers,104,Sacramento Kings,98,Box Score,OT,"17,317",
240,7:00p,Atlanta Hawks,101,Washington Wizards,108,Box Score,,"14,280",
241,7:30p,Chicago Bulls,93,Cleveland Cavaliers,97,Box Score,,"17,296",
242,8:00p,Brooklyn Nets,97,Memphis Grizzlies,88,Box Score,,"17,012",
243,8:30p,Minnesota Timberwolves,112,Dallas Mavericks,106,Box Score,,"20,173",
244,8:30p,Houston Rockets,112,San Antonio Spurs,106,Box Score,,"18,581",
245,9:00p,Boston Celtics,85,Milwaukee Bucks,92,Box Score,,"15,471",
246,9:00p,Utah Jazz,112,Phoenix Suns,104,Box Score,,"12,957",
247,1:00p,Denver Nuggets,112,Toronto Raptors,98,Box Score,,"16,290",
248,3:30p,Philadelphia 76ers,100,Detroit Pistons,115,Box Score,,"14,107",
249,3:30p,Indiana Pacers,105,Los Angeles Clippers,100,Box Score,,"19,060",
